X_georeferenced,Y_georeferenced,Z_georeferenced
84112.80179552756,431810.2822100221,0.0
84112.80179552756,431810.2822100221,3.0
84112.80179552756,431810.2822100221,6.0
84112.80179552756,431810.2822100221,9.0
84124.67930616585,431822.7370784054,0.0
84122.64879552755,431825.4552100221,2.6
84125.76579552756,431822.5772100221,0.0
84128.04479552756,431825.3482100221,0.0
84121.29479552756,431824.1371873441,0.0
84128.15179552756,431823.9822100221,0.0
84121.45879552756,431825.3482100221,0.0
84122.91179552756,431825.3482100221,0.0
84123.73779552756,431822.5772100221,0.0
84122.80740829627,431825.3482100221,0.0
84121.35179552756,431825.3482100221,0.0
84122.80740829627,431825.3482100221,0.0
84127.89479552755,431825.3482100221,0.0
84123.73779552756,431822.6342100221,0.0
84125.65879552756,431822.6342100221,0.0
84121.35179552756,431820.5822100221,0.0
84122.90879552756,431820.5822100221,0.0
84126.47679552756,431820.5822100221,0.0
84128.04479552756,431820.5822100221,0.0
84121.29479552756,431824.1371873441,2.5
84121.35179552756,431823.8322100221,0.0
84121.35179552756,431825.17118734407,0.0
84128.15179552756,431823.8322100221,0.0
84121.29479552756,431824.1977196221,0.0
84123.53740939501,431822.5772100221,0.0
84123.53740939501,431822.5772100221,0.0
84125.9661816601,431822.5772100221,0.0
84125.76579552756,431822.5772100221,0.0
84121.29479552756,431824.1371873441,0.0
84121.29479552756,431824.1432833441,0.006096000000000005
84121.29479552756,431824.1371873441,2.382
84123.84479552756,431822.6342100221,0.0
84124.04579196693,431822.6342100221,0.0
84126.59179552755,431825.4552100221,0.0
84122.80740829627,431825.4552100221,0.0
84122.91179552756,431825.4552100221,0.0
84125.9661816601,431825.4552100221,0.0
84121.29479552756,431825.3022100221,0.0
84121.35179552756,431825.3022100221,0.0
84121.87479552756,431820.5252100221,0.0
84121.45879552756,431820.5822100221,0.0
84121.87479552756,431820.5252100221,2.382
84121.87479552756,431820.5252100221,0.0
84121.88089152756,431820.5252100221,0.006096000000000005
84123.02679552756,431820.5252100221,0.0
84123.02679552756,431820.5822100221,0.0
84121.35179552756,431820.5822100221,0.0
84121.35179552756,431820.91521002207,0.0
84128.15179552756,431825.0162100221,0.0
84128.20879552756,431823.9822100221,2.382
84128.20879552756,431823.9883101061,2.375904
84128.15179552756,431825.0162100221,0.0
84128.20879552756,431823.9838052943,2.382
84127.62879552756,431820.5252100221,0.0
84127.62879552756,431820.5822100221,0.0
84126.47679552756,431820.5252100221,0.0
84126.59479552756,431820.5252100221,0.0
84126.60089152756,431820.5252100221,0.006096000000000005
84126.47679552756,431820.5252100221,0.0
84124.75179552755,431820.5822100221,0.0
84128.15179552756,431820.5822100221,0.0
84128.15179552756,431820.91521002207,0.0
84116.48006825482,431826.09057365847,0.0
84121.29479552756,431824.1371873441,0.0
84121.29479552756,431824.1432833441,0.006096000000000005
84121.29479552756,431824.1371873441,2.382
84112.62179552756,431824.4797100221,0.0
84112.62179552756,431825.0341202695,0.3972558379286586
84119.24179552756,431823.8322100221,2.5
84119.24179552756,431823.8322100221,0.0
84112.62179552756,431824.4797100221,0.0
84120.69479552755,431827.00221002207,0.0
84112.90329552756,431824.0447100221,0.0
84112.90329552756,431824.0447100221,0.0
84121.29479552756,431823.8322100221,0.0
84112.62179552756,431824.4797100221,0.0
84121.24479552756,431824.1371873441,0.0
84119.24179552756,431823.8322100221,0.0
84112.62679552755,431824.5422100221,0.0
84112.62179552756,431827.9687100221,0.0
84112.82829552756,431827.9687100221,0.0
84112.82829552756,431828.1892100221,0.0
84119.06079552756,431828.1892100221,0.0
84120.69479552755,431826.9522100221,0.0
84120.69479552755,431825.3022100221,0.0
84120.69479552755,431825.3022100221,0.0
84120.69479552755,431825.3572100221,0.0
84119.24179552756,431823.8322100221,0.0
84124.75179552755,431823.99121002207,0.0
84123.84479552756,431822.6342100221,0.0
84124.04579196693,431822.6342100221,0.0
84123.84479552756,431822.6342100221,0.0
84123.84479552756,431822.6342100221,2.91
84123.84479552756,431825.3482100221,2.91
84125.65879552756,431822.6342100221,2.91
84123.95179552755,431822.6342100221,2.91
84123.84479552756,431822.6342100221,0.0
84123.84479552756,431825.3482100221,0.0
84125.65879552756,431822.6342100221,0.0
84123.84479552756,431822.6342100221,2.62
84123.84479552756,431822.6342100221,3.0
84113.68112886089,431830.6130433554,0.0
84112.73379552756,431830.5872100221,2.5
84112.73379552756,431830.5872100221,0.0
84112.73379552756,431830.5872100221,0.0
