X_georeferenced,Y_georeferenced,Z_georeferenced,ID
84112.8017955276,431810.282210022,0,1
84112.8017955276,431810.282210022,3,2
84112.8017955276,431810.282210022,6,3
84112.8017955276,431810.282210022,9,4
84124.6793061659,431822.737078405,0,5
84122.6487955275,431825.455210022,2.6,6
84125.7657955276,431822.577210022,0,7
84128.0447955276,431825.348210022,0,8
84121.2947955276,431824.137187344,0,9
84128.1517955276,431823.982210022,0,10
84121.4587955276,431825.348210022,0,11
84122.9117955276,431825.348210022,0,12
84123.7377955276,431822.577210022,0,13
84122.8074082963,431825.348210022,0,14
84121.3517955276,431825.348210022,0,15
84122.8074082963,431825.348210022,0,16
84127.8947955276,431825.348210022,0,17
84123.7377955276,431822.634210022,0,18
84125.6587955276,431822.634210022,0,19
84121.3517955276,431820.582210022,0,20
84122.9087955276,431820.582210022,0,21
84126.4767955276,431820.582210022,0,22
84128.0447955276,431820.582210022,0,23
84121.2947955276,431824.137187344,2.5,24
84121.3517955276,431823.832210022,0,25
84121.3517955276,431825.171187344,0,26
84128.1517955276,431823.832210022,0,27
84121.2947955276,431824.197719622,0,28
84123.537409395,431822.577210022,0,29
84123.537409395,431822.577210022,0,30
84125.9661816601,431822.577210022,0,31
84125.7657955276,431822.577210022,0,32
84121.2947955276,431824.137187344,0,33
84121.2947955276,431824.143283344,0.006096,34
84121.2947955276,431824.137187344,2.382,35
84123.8447955276,431822.634210022,0,36
84124.0457919669,431822.634210022,0,37
84126.5917955275,431825.455210022,0,38
84122.8074082963,431825.455210022,0,39
84122.9117955276,431825.455210022,0,40
84125.9661816601,431825.455210022,0,41
84121.2947955276,431825.302210022,0,42
84121.3517955276,431825.302210022,0,43
84121.8747955276,431820.525210022,0,44
84121.4587955276,431820.582210022,0,45
84121.8747955276,431820.525210022,2.382,46
84121.8747955276,431820.525210022,0,47
84121.8808915276,431820.525210022,0.006096,48
84123.0267955276,431820.525210022,0,49
84123.0267955276,431820.582210022,0,50
84121.3517955276,431820.582210022,0,51
84121.3517955276,431820.915210022,0,52
84128.1517955276,431825.016210022,0,53
84128.2087955276,431823.982210022,2.382,54
84128.2087955276,431823.988310106,2.375904,55
84128.1517955276,431825.016210022,0,56
84128.2087955276,431823.983805294,2.382,57
84127.6287955276,431820.525210022,0,58
84127.6287955276,431820.582210022,0,59
84126.4767955276,431820.525210022,0,60
84126.5947955276,431820.525210022,0,61
84126.6008915276,431820.525210022,0.006096,62
84126.4767955276,431820.525210022,0,63
84124.7517955276,431820.582210022,0,64
84128.1517955276,431820.582210022,0,65
84128.1517955276,431820.915210022,0,66
84116.4800682548,431826.090573659,0,67
84121.2947955276,431824.137187344,0,68
84121.2947955276,431824.143283344,0.006096,69
84121.2947955276,431824.137187344,2.382,70
84112.6217955276,431824.479710022,0,71
84112.6217955276,431825.03412027,0.397255837928659,72
84119.2417955276,431823.832210022,2.5,73
84119.2417955276,431823.832210022,0,74
84112.6217955276,431824.479710022,0,75
84120.6947955276,431827.002210022,0,76
84112.9032955276,431824.044710022,0,77
84112.9032955276,431824.044710022,0,78
84121.2947955276,431823.832210022,0,79
84112.6217955276,431824.479710022,0,80
84121.2447955276,431824.137187344,0,81
84119.2417955276,431823.832210022,0,82
84112.6267955276,431824.542210022,0,83
84112.6217955276,431827.968710022,0,84
84112.8282955276,431827.968710022,0,85
84112.8282955276,431828.189210022,0,86
84119.0607955276,431828.189210022,0,87
84120.6947955276,431826.952210022,0,88
84120.6947955276,431825.302210022,0,89
84120.6947955276,431825.302210022,0,90
84120.6947955276,431825.357210022,0,91
84119.2417955276,431823.832210022,0,92
84124.7517955276,431823.991210022,0,93
84123.8447955276,431822.634210022,0,94
84124.0457919669,431822.634210022,0,95
84123.8447955276,431822.634210022,0,96
84123.8447955276,431822.634210022,2.91,97
84123.8447955276,431825.348210022,2.91,98
84125.6587955276,431822.634210022,2.91,99
84123.9517955276,431822.634210022,2.91,100
84123.8447955276,431822.634210022,0,101
84123.8447955276,431825.348210022,0,102
84125.6587955276,431822.634210022,0,103
