WKT,PLANID,LAAG
"LINESTRING (90409.742464 436560.029043,90416.121034 436566.159756,90403.831261 436578.47017)","582",ALG_CODERINGEN
"LINESTRING (65547.683138 436917.898608,65547.683138 436942.898608,65547.683138 436967.898608)","587",ALG_CODERINGEN
"LINESTRING (90432.750867 437567.427355,90433.901264 437552.801686)","582",ALG_CODERINGEN
"LINESTRING (90241.388242 437316.937077,90223.347395 437314.594446)","582",ALG_CODERINGEN
"LINESTRING (91717.200895 443687.181057,91717.001102 443687.060829)","368",ALG_MAATVOERING
"LINESTRING (86657.808781 442196.679859,86660.59605 442196.946557,86660.809883 442194.71179,86665.35139 442200.214358,86659.848822 442204.755865,86660.062654 442202.521097,86657.275385 442202.254399,86657.808781 442196.679859)","646",ALG_CODERINGEN
"LINESTRING (91808.403571 434234.916255,91809.063205 434235.604458,91820.106111 434225.111406)","574",ALG_CODERINGEN
"LINESTRING (91191.915239 437373.190175,91179.585998 437357.909536)","582",ALG_CODERINGEN
"LINESTRING (91684.33678 434154.064451,91690.513461 434152.751932)","574",ALG_CODERINGEN
"LINESTRING (92220.902563 442931.345573,92218.623169 442932.372393)","593",ALG_MAATVOERING
"LINESTRING (94638.796802 436350.325097,94640.923455 436348.790763)","687",ALG_CODERINGEN
"LINESTRING (91276.368007 436421.957568,91261.585987 436417.46686)","582",ALG_CODERINGEN
"LINESTRING (94828.658023 434360.720863,94824.644459 434362.416429)","632",ALG_CODERINGEN
"LINESTRING (95127.46057 433122.313372,95131.272639 433123.256934)","598",ALG_CODERINGEN
"LINESTRING (90571.647952 437010.759709,90560.824333 437012.307938,90563.722925 437033.197201)","582",ALG_CODERINGEN
"LINESTRING (94841.353994 434303.483846,94838.519519 434302.976258)","632",ALG_CODERINGEN
"LINESTRING (94271.201145 434586.542908,94267.132365 434582.116002,94263.465158 434585.628094)","632",ALG_CODERINGEN
"LINESTRING (90741.105049 436728.380029,90731.282124 436739.446003,90748.98466 436755.160002)","582",ALG_CODERINGEN
"LINESTRING (94586.901095 435946.448933,94589.154119 435945.661546)","687",ALG_CODERINGEN
"LINESTRING (94356.484195 436193.883896,94353.616157 436192.685017)","687",ALG_CODERINGEN
"LINESTRING (91353.656216 433769.126403,91345.36403 433772.443142)","574",ALG_CODERINGEN
"LINESTRING (91321.929254 433674.42403,91321.910211 433671.415677)","574",ALG_CODERINGEN
"LINESTRING (93174.232999 435478.142999,93176.43251 435477.232235,93178.801599 435476.998238,93181.136785 435477.461107,93183.237496 435478.581086,93184.9233 435480.261979,93186.049404 435482.359413,93186.519084 435484.693238,93186.292 435487.063)","488",ALG_CODERINGEN
"LINESTRING (91137.136973 433170.956485,91137.794257 433174.204984)","577",ALG_CODERINGEN
"LINESTRING (90513.007823 431076.843992,90513.013 431076.714,90513.967 431077.015,90512.99683 431077.101992)","494",ALG_MAATVOERING
"LINESTRING (90741.637722 436375.055625,90736.152027 436392.109942,90734.344786 436397.72842,90731.977781 436405.087134)","582",ALG_CODERINGEN
"LINESTRING (90726.700514 436609.714053,90743.347021 436618.337412,90746.341936 436619.888863)","582",ALG_CODERINGEN
"LINESTRING (92734.698005 435242.799277,92738.256706 435242.298908)","569",ALG_CODERINGEN
"LINESTRING (91215.261796 436970.008219,91223.653751 436969.002258)","582",ALG_CODERINGEN
"LINESTRING (95288.425362 434111.379559,95292.430032 434113.450038)","632",ALG_CODERINGEN
"LINESTRING (92033.111876 434156.813734,92034.467357 434158.680862)","574",ALG_CODERINGEN
"LINESTRING (91782.920773 434149.234566,91780.85658 434139.225506)","574",ALG_CODERINGEN
"LINESTRING (95003.783492 433394.025983,95002.118764 433402.74438)","598",ALG_CODERINGEN
"LINESTRING (95007.152096 434063.288762,95008.747472 434060.433176,95009.934728 434060.618604)","632",ALG_CODERINGEN
"LINESTRING (94956.374135 434422.618588,94956.141347 434424.114383,94959.167638 434425.676655)","632",ALG_CODERINGEN
"LINESTRING (89941.657364 437487.820469,89944.516282 437467.09619)","582",ALG_CODERINGEN
"LINESTRING (94757.236948 435577.716414,94756.590143 435574.838364)","687",ALG_CODERINGEN
"LINESTRING (91713.789336 434608.534766,91716.855243 434609.723083)","574",ALG_CODERINGEN
"LINESTRING (66147.683138 436917.898608,66147.683138 436942.898608,66147.683138 436967.898608)","587",ALG_CODERINGEN
"LINESTRING (91532.659218 434292.10065,91537.150565 434290.277801)","574",ALG_CODERINGEN
"LINESTRING (94611.336178 434191.71878,94608.095198 434189.086933)","632",ALG_CODERINGEN
"LINESTRING (89846.62047 431302.761597,89842.674176 431299.690775,89843.832679 431299.22068,89844.990997 431298.750144,89846.148795 431298.279818,89847.307686 431297.808893,89846.62047 431302.761597,89843.832679 431299.22068,89844.990997 431298.750144,89846.148795 431298.279818,89846.62047 431302.761597,89844.990997 431298.750144)","634",ALG_MAATVOERING
"LINESTRING (91304.186237 433718.219228,91307.484506 433716.890613)","574",ALG_CODERINGEN
"LINESTRING (94413.283156 432806.400125,94419.367713 432811.501165)","598",ALG_CODERINGEN
"LINESTRING (91353.84965 433844.788743,91357.568232 433843.290818)","574",ALG_CODERINGEN
"LINESTRING (88640.025711 440185.648819,88639.608541 440185.356792)","646",ALG_CODERINGEN
"LINESTRING (91783.314568 433553.216423,91778.513343 433545.587646)","574",ALG_MAATVOERING
"LINESTRING (94818.338909 435420.43111,94820.379342 435420.424228,94821.044921 435419.240389)","687",ALG_CODERINGEN
"LINESTRING (91458.84414 443117.212141,91439.411672 443117.212141)","709",ALG_CODERINGEN
"LINESTRING (91730.583227 443666.371645,91730.387005 443666.245803)","368",ALG_MAATVOERING
"LINESTRING (90998.291859 437452.66565,90993.642948 437470.571769,91004.226641 437473.229709)","582",ALG_CODERINGEN
"LINESTRING (91197.256714 437317.52178,91184.528796 437316.209658)","582",ALG_CODERINGEN
"LINESTRING (91179.394961 436560.895802,91181.454486 436564.670487)","582",ALG_CODERINGEN
"LINESTRING (87579.924672 440934.225443,87576.947596 440932.186619)","646",ALG_CODERINGEN
"LINESTRING (89301.012376 431680.776005,89305.159231 431682.023806,89323.200269 431687.45168,89327.346487 431688.699038)","634",ALG_MAATVOERING
