WKT,PLANID,LAAG,TEKST,SYMBOOL,ROTATIE,OID_,SYMBOOL_1,LEGENDA,LAAG_1
"POINT (85990.437152 430828.238195)","585",A_LEIDINGNUMMER,"2",,"4.7123","0",,,
"POINT (90030.646115 431224.76891)","516",A_STRAALPAD,"100.00",,"5.9565","0",,,
"POINT (89935.936115 431256.86191)","516",A_STRAALPAD,"100.00",,"5.9565","0",,,
"POINT (89329.724377 431513.354519)","516",A_HOOGSP_BOVENGR,"27.50",,"0.2921","0",,,
"POINT (89356.058377 431521.277519)","516",A_HOOGSP_BOVENGR,"27.50",,"0.2921","0",,,
"POINT (89090.353032 431731.975077)","634",A_LEIDINGNUMMER,"1",,"0.0000","0",,,
"POINT (87782.024263 431935.84974)","634",A_BEDRW_DNSTW_TOEGEST,,Bedrijfs-Dienstwoning,"0.0000","24",Bedrijfswoning dienstwoning toegestaan,diversen,A_BEDRW_DNSTW_TOEGEST
"POINT (87772.599405 431961.112566)","634",A_OPSL_STALLING_TOEGEST,,Opslag en stalling,"0.0000","0",,,
"POINT (87778.026127 432001.290279)","634",A_OPSL_STALLING_TOEGEST,,Opslag en stalling,"0.0000","0",,,
"POINT (86984.511156 432003.109255)","634",A_LEIDINGNUMMER,"3",,"0.0000","0",,,
"POINT (87019.433053 432011.986915)","634",A_LEIDINGNUMMER,"2",,"0.0000","0",,,
"POINT (91112.031765 432290.770961)","577",A_LEIDINGNUMMER,"3",,"1.5708","0",,,
"POINT (87035.55679 432339.624352)","634",A_LEIDINGNUMMER,"2",,"0.0000","0",,,
"POINT (86985.78 432340.18)","634",A_LEIDINGNUMMER,"3",,"0.0000","0",,,
"POINT (91302.867941 432370.847528)","577",A_LEIDINGNUMMER,"3",,"1.5708","0",,,
"POINT (91179.144838 432393.881465)","577",A_LEIDINGNUMMER,"3",,"1.5708","0",,,
"POINT (91256.02 432401.64)","577",A_LPG_VULPUNT,,LPG Vulpunt,"3.3924","0",,,
"POINT (91256.02 432401.64)","624",A_LPG_VULPUNT,,LPG Vulpunt,"6.2665","0",,,
"POINT (90718.889471 432458.518218)","577",A_LEIDINGNUMMER,"1",,"1.5708","0",,,
"POINT (90744.13688 432463.922572)","577",A_GASDRUKREGELSTAT_TOEGESTAAN,,Gasdrukregelstation,"1.5692","42",Gasdrukregelstation,diversen,A_GASDRUKREGELSTAT_TOEGESTAAN
"POINT (86728.751437 432482.603799)","634",A_BEDRW_DNSTW_TOEGEST,,Bedrijfs-Dienstwoning,"6.1387","24",Bedrijfswoning dienstwoning toegestaan,diversen,A_BEDRW_DNSTW_TOEGEST
"POINT (91334.604194 432482.939033)","577",A_LPG_TANK,,LPG_Tank,"1.0685","66",LPG_Tank,brandstof,A_LPG_TANK
"POINT (91416.691734 432488.403089)","577",A_LPG_AFLEVERZUIL,,LPG_Afleverzuil,"1.8216","15",Afleverzuil,brandstof,A_LPG_AFLEVERZUIL
"POINT (91416.448908 432488.705737)","624",A_LPG_AFLEVERZUIL,,LPG_Afleverzuil,"5.7537","15",Afleverzuil,brandstof,A_LPG_AFLEVERZUIL
"POINT (87071.601813 432492.515996)","634",A_LEIDINGNUMMER,"2",,"0.0000","0",,,
"POINT (94337.335878 432505.457796)","598",A_LEIDINGNUMMER,"2",,"5.5189","0",,,
"POINT (87003.66 432513.309999)","634",A_LEIDINGNUMMER,"3",,"0.0000","0",,,
"POINT (91367.748859 432523.619095)","577",A_LPG_AFLEVERZUIL,,LPG_Afleverzuil,"1.8216","15",Afleverzuil,brandstof,A_LPG_AFLEVERZUIL
"POINT (86761.511653 432540.360671)","634",A_LEIDINGNUMMER,"4",,"0.0000","0",,,
"POINT (90729.835554 432547.708407)","577",A_LEIDINGNUMMER,"3",,"1.5708","0",,,
"POINT (94235.597833 432552.324365)","598",A_LEIDINGNUMMER,"2",,"5.5189","0",,,
"POINT (90735.272823 432567.615698)","577",A_LEIDINGNUMMER,"4",,"1.5708","0",,,
"POINT (94469.273303 432611.645049)","598",A_LEIDINGNUMMER,"1",,"5.5136","0",,,
"POINT (86780.097481 432624.500769)","634",A_LEIDINGNUMMER,"4",,"0.0000","0",,,
"POINT (94467.468419 432844.686744)","598",A_KINDERDAGVERBLIJF,,kinderdagverblijf,"0.2660","56",kinderdagverblijf,bedrijf/detailhandel/voorz,A_KINDERDAGVERBLIJF
"POINT (94250.628515 432911.543823)","598",A_HORECA_TOEGEST,,Horeca,"5.5204","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (94233.284753 432924.565993)","598",A_HORECA_TOEGEST,,Horeca,"5.5204","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (94213.804045 432973.707174)","598",A_HORECA_TOEGEST,,Horeca,"5.5204","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (94165.358993 433031.659906)","598",A_DAK,,Plat afgedekt,"5.3745","0",,,
"POINT (95046.509334 433051.159523)","598",A_MAATSCH_VOORZ_TOEGEST,,Maatschappelijke voorziening,"0.0000","70",maatschappelijk voorziening,bedrijf/detailhandel/voorz,A_MAATSCH_VOORZ_TOEGEST
"POINT (93818.087499 433074.684929)","598",A_LEIDINGNUMMER,"2",,"5.5189","0",,,
"POINT (94122.873245 433075.362153)","598",A_GARAGE_TOEGEST,,Garagebedrijf,"4.7522","39",Garagebdrijf,bedrijf/detailhandel/voorz,A_GARAGE_TOEGEST
"POINT (94220.450789 433080.054834)","598",A_MAATSCH_VOORZ_TOEGEST,,Maatschappelijke voorziening,"5.5204","70",maatschappelijk voorziening,bedrijf/detailhandel/voorz,A_MAATSCH_VOORZ_TOEGEST
"POINT (95057.011193 433084.548723)","598",A_DAK,,Plat afgedekt,"4.4333","0",,,
"POINT (94117.382806 433085.301813)","598",A_HORECA_TOEGEST,,Horeca,"5.5204","48",horeca,bedrijf/detailhandel/voorz,A_HORECA_TOEGEST
"POINT (94173.347044 433086.44642)","598",A_DAK,,Plat afgedekt,"5.3722","0",,,
"POINT (94208.517574 433101.673814)","598",A_DAK,,Plat afgedekt,"5.2072","0",,,
"POINT (93770.895695 433123.978664)","598",A_LEIDINGNUMMER,"1",,"5.5136","0",,,
"POINT (94071.184069 433148.420427)","598",A_DAK,,Plat afgedekt,"5.4018","0",,,
