WKT,PLANID,LAAG,OID_,LAAG_1,LEGENDA
"POLYGON ((70998.732 442885.166999,70980.93 442860.967999,70980.299696 442861.381886,70983.52 442865.56,70998.417603 442885.373451,70998.732 442885.166999))","441",A_GEEN_GOEDKEURING,"20",A_GEEN_GOEDKEURING,goedkeuring onthouden
"POLYGON ((71126.770425 442986.63436,71107.61724 442961.177366,71085.094 442995.355999,71104.204 443020.878999,71126.770425 442986.63436))","441",A_GEEN_GOEDKEURING,"20",A_GEEN_GOEDKEURING,goedkeuring onthouden
"POLYGON ((90788.960118 431898.795243,90815.58 431892.38,90796.8 431896.82,90788.960118 431898.795243))","494",A_OPSLAG_TOEGEST_HERZ_1,"52",A_OPSLAG_TOEGEST_HERZ_1,opslag
"POLYGON ((90498.73511 431146.674057,90498.485 431145.955,90479.274 431152.768999,90479.555275 431153.596575,90498.73511 431146.674057))","494",A_OPSLAG_TOEGEST_HERZ_1,"52",A_OPSLAG_TOEGEST_HERZ_1,opslag
"POLYGON ((92444.515 437108.999,92445.185 437107.66,92444.259422 437108.917589,92444.515 437108.999))","504",A_WINKEL_TOEGEST,"80",A_WINKEL_TOEGEST,detailhandel
"POLYGON ((89034.902999 431860.432,89033.581999 431856.066999,89033.899 431857.148,89034.902999 431860.432))","516",A_OPSL_STALLING_TOEGEST,"50",A_OPSL_STALLING_TOEGEST,opslag
"POLYGON ((96557.876 431603.73,96553.071576 431602.830508,96565.872469 431605.355712,96563.685999 431604.86,96557.876 431603.73))","519",A_OPSLAG_TOEGEST,"51",A_OPSLAG_TOEGEST,opslag
"POLYGON ((86700.338639 432660.025944,86705.501186 432659.203629,86697.340263 432660.40186,86700.338639 432660.025944))","521",A_MILIEUCATEGORIE,"46",A_MILIEUCATEGORIE,milieu
"POLYGON ((91009.62687 441372.695999,91000.0 441366.727,90973.257936 441350.146163,90971.421 441353.124,90949.79 441388.196,91004.680091 441373.977351,91009.62687 441372.695999))","527",A_OPSLAG_TOEGEST,"51",A_OPSLAG_TOEGEST,opslag
"POLYGON ((91228.819 442167.68,91229.097545 442167.230708,91227.383 442169.901,91227.675 442169.46,91227.965 442169.018,91228.252 442168.574,91228.537 442168.128,91228.819 442167.68))","527",A_OPSLAG_TOEGEST,"51",A_OPSLAG_TOEGEST,opslag
"POLYGON ((91169.286634 441539.496461,91169.3 441539.493,91168.676 441537.194,91166.077 441527.578,91163.491 441517.957,91160.907 441508.317,91158.337 441498.694,91155.783 441489.07,91153.236 441479.432,91150.702 441469.801,91148.124986 441459.937873,91129.168 441448.062,91098.704 441428.795,91095.17 441426.56,91028.879 441384.633,91009.62687 441372.695999,91004.680091 441373.977351,90949.79 441388.196,90941.11 441402.27,90917.09 441434.3,90875.37 441500.77,90874.24 441504.43,90876.46 441508.91,90997.067 441584.106,91095.578 441558.589,91099.986 441557.447,91104.825 441556.194,91108.648 441555.203,91119.297928 441552.444721,91128.977894 441549.937592,91134.4 441548.533,91138.993 441547.343,91143.834 441546.089,91147.614 441545.11,91169.286634 441539.496461))","527",A_OPSLAG_TOEGEST,"51",A_OPSLAG_TOEGEST,opslag
"POLYGON ((93293.955964 437224.751308,93291.974473 437223.054263,93292.042741 437223.115639,93293.878076 437224.687792,93293.955964 437224.751308))","531",A_HOOGBOUWZONE1,"31",A_HOOGBOUWZONE1,bebouwing
"POLYGON ((95154.551189 434753.086305,95148.165261 434753.042223,95146.282662 434758.754921,95148.897007 434758.335514,95151.276942 434757.175077,95153.217402 434755.3736,95154.551189 434753.086305))","537",A_VERK_MOTORBRANDSTOF,"72",A_VERK_MOTORBRANDSTOF,detailhandel
