WKT,INFORMATIE,VERORDENIN,MEER_INFOR,URL_INFO,PLANID
"POLYGON ((93948.220355 436371.80485,93977.412482 436397.834323,93969.29077 436405.920374,93992.715212 436426.436333,94092.533 436313.656,94046.88 436273.69,93948.220355 436371.80485))",Bouwgebied A tweede zone,Bouwgebied A2e zone,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied A tweede zone.pdf,"0"
"POLYGON ((93597.329 434783.411,93595.089972 434773.48058,93595.066 434773.472,93592.35 434781.85,93597.329 434783.411))",Bouwgebied A derde zone,Bouwgebied A3e zone,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied A derde zone.pdf,"1"
"POLYGON ((93101.109612 439609.25612,93325.67 439657.13,93372.25 439666.53,93417.31 439667.59,93443.22 439662.49,93449.4 439660.53,93463.55 439655.9,93504.457 439642.738,93528.79 439635.48,93596.673 439590.187,93594.241 439588.114,93613.462 439564.886,93961.350892 439094.552466,93951.951909 439086.069268,93878.684 439178.997,93582.049 439578.034,93524.616 439621.487,93433.96 439649.654,93373.615 439652.193,93168.584 439610.058,93097.770995 439589.395045,93098.015 439589.541,93098.5915 439589.933,93099.168 439590.325,93099.721 439590.75,93100.274 439591.175,93100.8015 439591.6315,93101.329 439592.088,93101.5855 439592.3515,93101.842 439592.615,93102.673 439593.829,93102.756576 439593.993187,93102.835476 439594.159672,93102.909637 439594.328321,93102.979 439594.499,93103.052293 439594.696365,93103.119119 439594.896012,93103.179407 439595.09773,93103.233092 439595.301305,93103.280118 439595.50652,93103.320435 439595.713158,93103.354 439595.921,93103.381835 439596.665023,93103.382693 439596.687981,93103.383808 439596.717778,93103.3855 439596.763,93103.386533 439596.790618,93103.388039 439596.830857,93103.389721 439596.875824,93103.394477 439597.002967,93103.398758 439597.117385,93103.402336 439597.213039,93103.407614 439597.354124,93103.411218 439597.450434,93103.41447 439597.537384,93103.417 439597.605,93103.3885 439598.08,93103.36 439598.555,93103.3025 439599.027,93103.245 439599.499,93103.0655 439600.5875,93102.886 439601.676,93102.6785 439602.76,93102.471 439603.844,93102.2355 439604.922,93102 439606,93101.7175 439607.099,93101.435 439608.198,93101.109612 439609.25612))",Bouwgebied C,Bouwgebied C,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied C.pdf,"2"
"POLYGON ((93035.022244 439733.591992,93033.888883 439735.099532,93024.444036 439747.662603,93012.511699 439763.53441,93037.325 439768.781,93032.92 439776.95,93029.687 439782.747,93028.87 439787.22,93036.73 439788.89,93058.825 439793.592,93105.402 439803.334,93118.269 439823.545,93117.931 439820.008,93114.101 439805.153,93121.977 439806.8,93122.35 439806.87,93124.575 439807.343,93174.52 439817.79,93174.533 439817.973,93175.93 439818.27,93175.938 439825.491,93466.338 439884.334,93466.878 439881.639,93468.89 439871.61,93471.1 439872.03,93472.97 439862.64,93476.98 439863.44,93476.13 439867.45,93477.27 439871.54,93480.53 439873.68,93482.85 439874.38,93485.24 439874.9,93488.57 439875.55,93528.6 439883.183,93551.4 439887.53,93594.42 439895.832,93611.714 439899.169,93752.46 439926.33,93777.59 439931.06,93810.24 439937.34,93834.6 439942.65,93834.41 439942.84,94327.104 440048.284,95026.029 440190.112,95029.649 440175.635,93223.72 439796.67,93086.888 439767.97,93091.609 439745.461,93035.022244 439733.591992))",Bouwgebied C,Bouwgebied C,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied C.pdf,"3"
"POLYGON ((89839.908537 435677.902045,89655.447 435561.588,89668.703986 435540.56459,89668.703365 435540.564198,89659.777896 435534.930171,89662.955999 435530.137,89558.515999 435464.139,89549.427999 435455.991,89446.19 435473.02,89440.89 435497.78,89794.76 435722.73,89712.45 435812.59,89221.62 435501.17,89094.95 435507.24,89088.47 435531.93,89646.35 435885.25,89564.61 435974.24,88999.99 435615.54,88842.26 435515.5,88813.93 435533.53,88814.398 435534.231,88801.27 435542.59,88805.2 435548.86,88801.44 435555.11,88807.62 435595.81,88813.14 435638.98,88816.1 435643.79,89000.01 435760.41,89295.59 435947.82,89291.35 435954.48,89459.98 436061.78,89462.1 436058.45,89469.7 436065.83,89457.82 436079.57,89454.066 436083.606,89481.612366 436100.960295,89484.23 436098.11,89667.47 435898.67,89805.19 435748.54,89811.358 435741.531,89811.649 435741.178,89804.437 435733.753,89839.908537 435677.902045))",Bouwgebied A derde zone,Bouwgebied A3e zone,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied A derde zone.pdf,"4"
"POLYGON ((89367.150407 436429.787394,89365.549 436428.443,89361.498 436425.094,89353.738 436417.793,89318.62 436399.851,89337.93 436346.82,89352.94 436302.06,89364.048404 436269.511383,88994.174 436144.742,88986.639 436129.536,88990.475 436118.165,88921.642 436094.946,88955.0 435997.78,88982.422 435954.372,88850.53 435870.692,88911.936 435773.328,88907.14 435770.29,88911.89 435762.69,88908.61 435760.63,88913.64 435752.67,88867.92 435723.81,88862.55 435731.56,88859.62 435729.7,88854.95 435737.08,88830.36 435721.57,88830.86 435720.79,88805.19 435704.44,88809.17 435698.1,88783.73 435681.95,88779.78 435688.38,88757.08 435670.17,88759.3 435666.55,88695.16 435625.87,88687.2 435638.36,88593.583 435580.566,88553.87 435482.34,88412.14 435456.81,88407.469 435459.133,88278.02 435436.58,88275.09 435436.91,88256.83 435444.17,88252.99 435434.81,88240.15 435440.06,88465.75 435998.93,88466.1 435999.6,88531.52 436099.99,88740.89 436421.13,88739.45 436423.14,88599.406 436439.154,88583.64 436426.84,88371.09 436099.78,88244.38 435906.29,88223.99 435908.54,88172.54 436078.12,88172.69 436079.22,88186.32 436099.96,88419.43 436457.38,88417.9 436459.638,88293.953 436474.102,88280.41 436464.03,88098.54 436182.88,88078.09 436184.99,88039.87 436304.11,88040.09 436306.09,88157.98 436488.11,88157.61 436488.8,88043.78 436500.88,88019.71 436474.13,87999.5 436444.34,87897.69 436288.31,87897.47 436286.11,87900.18 436268.96,87981.73 436100.01,88111.59 435830.55,88068.63 435808.52,88079.5 435797.52,88078.63 435796.66,88154.59 435719.92,88154.56 435718.73,88153.5 435717.67,88149.71 435717.69,88116.34 435675.09,88115.75 435668.47,88121.6 435657.39,88120.953 435649.41,88050.792 435755.657,88000.029 435832.286,87983.05 435869.36,87990.17 435890.8,87993.87 435912.94,87969.51 435963.32,87897.84 436111.015,87881.595 436144.492,87853.174 436203.186,87867.387 436210.078,87871.946 436338.72,87998.646 436532.858,88006.89 436606.14,88109.256 436603.594,88327.825 436578.542,88357.31 436575.158,88674.37 436539.113,88742.921 436531.732,89290.491 436468.853,89341.108 436458.13,89367.150407 436429.787394))",Bouwgebied A derde zone,Bouwgebied A3e zone,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied A derde zone.pdf,"5"
"POLYGON ((95444.7589 434037.140327,95439.694809 434034.598835,95438.928 434034.214,95432.34 434048.8,95432.03 434051.952,95436.642 434054.276,95444.7589 434037.140327))",Bouwgebied A derde zone,Bouwgebied A3e zone,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied A derde zone.pdf,"6"
"POLYGON ((92470.54 438060.35,92489.952898 438070.607004,92490.36 438069.71,92470.54 438060.35))",Bouwgebied A eerste zone,Bouwgebied A1e zone,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied A eerste zone.pdf,"7"
"POLYGON ((92499.62898 438075.719461,92499.63 438075.72,92514.34 438087.91,92526.82 438093.87,92548.614901 438106.721377,92551.542817 438100.517786,92499.62898 438075.719461))",Bouwgebied A eerste zone,Bouwgebied A1e zone,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied A eerste zone.pdf,"8"
"POLYGON ((92299.631841 438029.667925,92296.539 438026.811,92264.05834 438062.094291,92264.244395 438061.926624,92268.528803 438057.82806,92275.900505 438051.05652,92299.631841 438029.667925))",Bouwgebied A eerste zone,Bouwgebied A1e zone,"Heeft u inhoudelijke vragen, neem dan contact op met het algemene informatienummer van de gemeente Rotterdam: 14010",http://tile.gis.rotterdam.nl/gw2data/data/dsv/bouwgebieden/Bouwgebied A eerste zone.pdf,"9"
